arquivo;algoritmo;estrutura;execucao;tempo_ms
sample100-1980.gr;FLOYDWARSHALL;LISTA;5;197,6373
sample100-1980.gr;FLOYDWARSHALL;LISTA;6;165,5343
sample100-1980.gr;FLOYDWARSHALL;LISTA;7;193,6770
sample100-1980.gr;FLOYDWARSHALL;LISTA;8;166,0033
sample100-1980.gr;FLOYDWARSHALL;LISTA;9;197,0360
sample100-1980.gr;FLOYDWARSHALL;LISTA;10;190,5285
sample100-1980.gr;FLOYDWARSHALL;LISTA;11;186,8939
sample100-1980.gr;FLOYDWARSHALL;MATRIZ;1;212,1704
sample100-1980.gr;FLOYDWARSHALL;MATRIZ;2;173,2193
sample100-1980.gr;FLOYDWARSHALL;MATRIZ;3;168,5613
sample100-1980.gr;FLOYDWARSHALL;MATRIZ;4;172,6538
sample100-1980.gr;FLOYDWARSHALL;MATRIZ;5;194,7455
sample100-1980.gr;FLOYDWARSHALL;MATRIZ;6;166,5983
sample100-1980.gr;FLOYDWARSHALL;MATRIZ;7;195,9527
sample100-1980.gr;FLOYDWARSHALL;MATRIZ;8;180,6600
sample100-1980.gr;FLOYDWARSHALL;MATRIZ;9;191,0083
sample100-1980.gr;FLOYDWARSHALL;MATRIZ;10;177,8758
sample100-1980.gr;FLOYDWARSHALL;MATRIZ;11;179,1992
sample100-3960.gr;BFS;LISTA;1;2,9159
sample100-3960.gr;BFS;LISTA;2;2,8962
sample100-3960.gr;BFS;LISTA;3;1,9534
sample100-3960.gr;BFS;LISTA;4;2,3404
sample100-3960.gr;BFS;LISTA;5;2,8787
sample100-3960.gr;BFS;LISTA;6;2,9584
sample100-3960.gr;BFS;LISTA;7;2,1426
sample100-3960.gr;BFS;LISTA;8;3,2182
sample100-3960.gr;BFS;LISTA;9;2,5864
sample100-3960.gr;BFS;LISTA;10;2,4573
sample100-3960.gr;BFS;LISTA;11;3,1380
sample100-3960.gr;BFS;MATRIZ;1;2,7389
sample100-3960.gr;BFS;MATRIZ;2;2,6042
sample100-3960.gr;BFS;MATRIZ;3;3,0494
sample100-3960.gr;BFS;MATRIZ;4;2,5840
sample100-3960.gr;BFS;MATRIZ;5;2,6565
sample100-3960.gr;BFS;MATRIZ;6;2,6633
sample100-3960.gr;BFS;MATRIZ;7;2,4781
sample100-3960.gr;BFS;MATRIZ;8;2,4400
sample100-3960.gr;BFS;MATRIZ;9;2,4489
sample100-3960.gr;BFS;MATRIZ;10;2,5416
sample100-3960.gr;BFS;MATRIZ;11;2,4762
sample100-3960.gr;DFS;LISTA;1;2,6683
sample100-3960.gr;DFS;LISTA;2;2,3661
sample100-3960.gr;DFS;LISTA;3;2,3707
sample100-3960.gr;DFS;LISTA;4;2,3317
sample100-3960.gr;DFS;LISTA;5;2,2805
sample100-3960.gr;DFS;LISTA;6;2,6072
sample100-3960.gr;DFS;LISTA;7;2,6739
sample100-3960.gr;DFS;LISTA;8;2,4558
sample100-3960.gr;DFS;LISTA;9;2,5304
sample100-3960.gr;DFS;LISTA;10;2,4405
sample100-3960.gr;DFS;LISTA;11;2,5800
sample100-3960.gr;DFS;MATRIZ;1;3,4790
sample100-3960.gr;DFS;MATRIZ;2;3,0271
sample100-3960.gr;DFS;MATRIZ;3;3,1062
sample100-3960.gr;DFS;MATRIZ;4;3,5302
sample100-3960.gr;DFS;MATRIZ;5;3,2863
sample100-3960.gr;DFS;MATRIZ;6;3,6559
sample100-3960.gr;DFS;MATRIZ;7;3,0509
sample100-3960.gr;DFS;MATRIZ;8;2,4375
sample100-3960.gr;DFS;MATRIZ;9;3,8356
sample100-3960.gr;DFS;MATRIZ;10;3,0255
sample100-3960.gr;DFS;MATRIZ;11;2,6985
sample100-3960.gr;KRUSKAL;LISTA;1;4,4176
sample100-3960.gr;KRUSKAL;LISTA;2;3,9673
sample100-3960.gr;KRUSKAL;LISTA;3;3,8898
sample100-3960.gr;KRUSKAL;LISTA;4;3,9067
sample100-3960.gr;KRUSKAL;LISTA;5;3,7294
sample100-3960.gr;KRUSKAL;LISTA;6;4,0132
sample100-3960.gr;KRUSKAL;LISTA;7;3,7762
sample100-3960.gr;KRUSKAL;LISTA;8;3,7582
sample100-3960.gr;KRUSKAL;LISTA;9;3,6706
sample100-3960.gr;KRUSKAL;LISTA;10;3,4389
sample100-3960.gr;KRUSKAL;LISTA;11;4,0397
sample100-3960.gr;KRUSKAL;MATRIZ;1;3,6645
sample100-3960.gr;KRUSKAL;MATRIZ;2;4,5880
sample100-3960.gr;KRUSKAL;MATRIZ;3;3,6006
sample100-3960.gr;KRUSKAL;MATRIZ;4;3,7286
sample100-3960.gr;KRUSKAL;MATRIZ;5;4,8016
sample100-3960.gr;KRUSKAL;MATRIZ;6;3,5699
sample100-3960.gr;KRUSKAL;MATRIZ;7;3,5533
sample100-3960.gr;KRUSKAL;MATRIZ;8;3,7839
sample100-3960.gr;KRUSKAL;MATRIZ;9;3,3311
sample100-3960.gr;KRUSKAL;MATRIZ;10;5,0712
sample100-3960.gr;KRUSKAL;MATRIZ;11;3,5684
sample100-3960.gr;PRIM;LISTA;1;3,4801
sample100-3960.gr;PRIM;LISTA;2;3,6881
sample100-3960.gr;PRIM;LISTA;3;3,6494
sample100-3960.gr;PRIM;LISTA;4;3,1638
sample100-3960.gr;PRIM;LISTA;5;2,7209
sample100-3960.gr;PRIM;LISTA;6;3,1884
sample100-3960.gr;PRIM;LISTA;7;2,9450
sample100-3960.gr;PRIM;LISTA;8;2,6762
sample100-3960.gr;PRIM;LISTA;9;2,5839
sample100-3960.gr;PRIM;LISTA;10;2,7040
sample100-3960.gr;PRIM;LISTA;11;3,1343
sample100-3960.gr;PRIM;MATRIZ;1;4,2095
sample100-3960.gr;PRIM;MATRIZ;2;3,7723
sample100-3960.gr;PRIM;MATRIZ;3;3,3483
sample100-3960.gr;PRIM;MATRIZ;4;3,9622
sample100-3960.gr;PRIM;MATRIZ;5;4,0114
sample100-3960.gr;PRIM;MATRIZ;6;3,6519
sample100-3960.gr;PRIM;MATRIZ;7;3,5974
sample100-3960.gr;PRIM;MATRIZ;8;3,7665
sample100-3960.gr;PRIM;MATRIZ;9;3,6022
sample100-3960.gr;PRIM;MATRIZ;10;3,5912
sample100-3960.gr;PRIM;MATRIZ;11;3,9329
sample100-3960.gr;DIJKSTRA;LISTA;1;2,6219
sample100-3960.gr;DIJKSTRA;LISTA;2;2,5377
sample100-3960.gr;DIJKSTRA;LISTA;3;2,5196
sample100-3960.gr;DIJKSTRA;LISTA;4;2,4975
sample100-3960.gr;DIJKSTRA;LISTA;5;2,5132
sample100-3960.gr;DIJKSTRA;LISTA;6;2,5162
sample100-3960.gr;DIJKSTRA;LISTA;7;2,7922
sample100-3960.gr;DIJKSTRA;LISTA;8;2,5090
sample100-3960.gr;DIJKSTRA;LISTA;9;2,6442
sample100-3960.gr;DIJKSTRA;LISTA;10;2,4954
sample100-3960.gr;DIJKSTRA;LISTA;11;2,5375
sample100-3960.gr;DIJKSTRA;MATRIZ;1;3,7551
sample100-3960.gr;DIJKSTRA;MATRIZ;2;4,2806
sample100-3960.gr;DIJKSTRA;MATRIZ;3;4,3088
sample100-3960.gr;DIJKSTRA;MATRIZ;4;3,5371
sample100-3960.gr;DIJKSTRA;MATRIZ;5;2,3407
sample100-3960.gr;DIJKSTRA;MATRIZ;6;2,9458
sample100-3960.gr;DIJKSTRA;MATRIZ;7;2,4735
sample100-3960.gr;DIJKSTRA;MATRIZ;8;1,7875
sample100-3960.gr;DIJKSTRA;MATRIZ;9;1,6154
sample100-3960.gr;DIJKSTRA;MATRIZ;10;2,2667
sample100-3960.gr;DIJKSTRA;MATRIZ;11;1,5913
sample100-3960.gr;BELLMANFORD;LISTA;1;2,4549
sample100-3960.gr;BELLMANFORD;LISTA;2;3,0040
sample100-3960.gr;BELLMANFORD;LISTA;3;2,3661
sample100-3960.gr;BELLMANFORD;LISTA;4;3,4319
sample100-3960.gr;BELLMANFORD;LISTA;5;3,9606
sample100-3960.gr;BELLMANFORD;LISTA;6;4,7270
sample100-3960.gr;BELLMANFORD;LISTA;7;4,7079
sample100-3960.gr;BELLMANFORD;LISTA;8;4,4747
sample100-3960.gr;BELLMANFORD;LISTA;9;4,5219
sample100-3960.gr;BELLMANFORD;LISTA;10;4,4999
sample100-3960.gr;BELLMANFORD;LISTA;11;4,1968
sample100-3960.gr;BELLMANFORD;MATRIZ;1;10,7026
sample100-3960.gr;BELLMANFORD;MATRIZ;2;10,2514
sample100-3960.gr;BELLMANFORD;MATRIZ;3;12,0814
sample100-3960.gr;BELLMANFORD;MATRIZ;4;10,1731
sample100-3960.gr;BELLMANFORD;MATRIZ;5;9,5401
sample100-3960.gr;BELLMANFORD;MATRIZ;6;13,1806
sample100-3960.gr;BELLMANFORD;MATRIZ;7;11,0972
sample100-3960.gr;BELLMANFORD;MATRIZ;8;10,9555
sample100-3960.gr;BELLMANFORD;MATRIZ;9;12,2124
sample100-3960.gr;BELLMANFORD;MATRIZ;10;12,1848
sample100-3960.gr;BELLMANFORD;MATRIZ;11;11,8555
sample100-3960.gr;FLOYDWARSHALL;LISTA;1;207,7149
sample100-3960.gr;FLOYDWARSHALL;LISTA;2;194,5624
sample100-3960.gr;FLOYDWARSHALL;LISTA;3;192,3442
sample100-3960.gr;FLOYDWARSHALL;LISTA;4;171,2412
sample100-3960.gr;FLOYDWARSHALL;LISTA;5;186,5547
sample100-3960.gr;FLOYDWARSHALL;LISTA;6;187,1453
sample100-3960.gr;FLOYDWARSHALL;LISTA;7;175,1537
sample100-3960.gr;FLOYDWARSHALL;LISTA;8;196,7365
sample100-3960.gr;FLOYDWARSHALL;LISTA;9;178,1076
sample100-3960.gr;FLOYDWARSHALL;LISTA;10;187,4682
sample100-3960.gr;FLOYDWARSHALL;LISTA;11;210,9990
sample100-3960.gr;FLOYDWARSHALL;MATRIZ;1;209,3567
sample100-3960.gr;FLOYDWARSHALL;MATRIZ;2;205,2097
sample100-3960.gr;FLOYDWARSHALL;MATRIZ;3;156,1104
